line,age,current_club,current_league,foot,height,nationality,position,year,games,goals,minutes,assists,algo
Wanderson A,23,FK Krasnodar,RUS - Premier Liga,right,175,Brazil  Belgium,W,14,32,2,1769,4,
Joãozinho,29,FK Krasnodar,RUS - Premier Liga,left,166,Russia  Brazil,W,14,29,11,2369,9,
Andrei Ivan,21,FK Krasnodar,RUS - Premier Liga,right,185,Romania,W,14,19,1,518,2,
Ricardo Laborde,30,FK Krasnodar,RUS - Premier Liga,right,174,Colombia,W,14,37,7,1499,6,
Magomed-Shapi Suleymanov,18,FK Krasnodar,RUS - Premier Liga,left,170,Russia,W,14,,,,,
Fedor Smolov,28,FK Krasnodar,RUS - Premier Liga,right,187,Russia,CF,14,26,8,1854,3,
Ivan Ignatjev,19,FK Krasnodar,RUS - Premier Liga,right,180,Russia,CF,14,,,,,
Alan Kasaev,31,Lokomotiv Moscow,RUS - Premier Liga,right,174,Russia,W,14,31,4,2016,3,
Jefferson Farfán,33,Lokomotiv Moscow,RUS - Premier Liga,right,178,Peru,W,14,9,0,564,0,
Arshak Koryan,22,Lokomotiv Moscow,RUS - Premier Liga,right,169,Russia  Armenia,W,14,8,1,588,3,
Éder,30,Lokomotiv Moscow,RUS - Premier Liga,both,190,Portugal  Guinea-Bissau,CF,14,38,14,2268,3,
Ari,32,Lokomotiv Moscow,RUS - Premier Liga,both,180,Brazil,CF,14,38,14,2451,9,
Gökdeniz Karadeniz,38,Rubin Kazan,RUS - Premier Liga,right,168,Turkey,W,14,24,7,2017,4,
Rifat Zhemaletdinov,21,Rubin Kazan,RUS - Premier Liga,right,184,Russia,W,14,,,,,
Sardar Azmoun,23,Rubin Kazan,RUS - Premier Liga,both,186,Iran,CF,14,27,6,1069,1,
Léo Jabá,19,Akhmat Grozny,RUS - Premier Liga,right,178,Brazil,W,14,,,,,
Bernard Berisha,26,Akhmat Grozny,RUS - Premier Liga,right,174,Kosovo  Albania,W,14,41,7,3020,1,
Magomed Mitrishev,25,Akhmat Grozny,RUS - Premier Liga,right,178,Russia,W,14,14,2,715,2,
Odise Roshi,26,Akhmat Grozny,RUS - Premier Liga,right,187,Albania,W,14,22,3,1422,2,
Khalid Kadyrov,23,Akhmat Grozny,RUS - Premier Liga,right,167,Russia,W,14,5,0,142,0,
Bekim Balaj,27,Akhmat Grozny,RUS - Premier Liga,right,188,Albania,CF,14,31,13,2224,3,
Ablaye Mbengue,25,Akhmat Grozny,RUS - Premier Liga,right,187,Senegal,CF,14,5,4,405,0,
Zaur Sadaev,28,Akhmat Grozny,RUS - Premier Liga,right,182,Russia,CF,14,34,9,2156,7,
Apti Akh'yadov,24,Akhmat Grozny,RUS - Premier Liga,right,173,Russia,CF,14,0,0,0,0,
Fedor Chernykh,26,Dinamo Moscow,RUS - Premier Liga,both,183,Lithuania  Russia,W,14,33,12,2573,6,
Vyacheslav Grulev,18,Dinamo Moscow II,RUS - Premier Liga,right,188,Russia,W,14,,,,,
Anton Terekhov,20,Dinamo Moscow,RUS - Premier Liga,right,186,Russia,W,14,,,,,
Evgeni Markov,23,Dinamo Moscow,RUS - Premier Liga,right,187,Russia,CF,14,18,5,1193,0,
Evgeni Lutsenko,31,Dinamo Moscow,RUS - Premier Liga,left,187,Russia,CF,14,25,3,1605,1,
Nikolay Obolskiy,21,Dinamo Moscow,RUS - Premier Liga,left,186,Russia,CF,14,0,0,0,0,
Evans Kangwa,25,Arsenal Tula,RUS - Premier Liga,right,180,Zambia,W,14,23,4,1092,0,
Artem Dzyuba,29,Arsenal Tula,RUS - Premier Liga,right,196,Russia,CF,14,26,8,1529,1,
Luka Djordjevic,23,Arsenal Tula,RUS - Premier Liga,both,185,Montenegro,CF,14,12,6,785,0,
Federico Rasic,25,Arsenal Tula,RUS - Premier Liga,right,194,Argentina  Croatia,CF,14,21,3,912,1,
Aslanbek Sikoev,23,Arsenal Tula II,RUS - Premier Liga,right,191,Russia,CF,14,,,,,
Igor Shevchenko,33,Arsenal Tula,RUS - Premier Liga,right,180,Russia,CF,14,26,1,1490,1,
Sly,27,FK Ufa,RUS - Premier Liga,right,173,Nigeria,W,14,33,10,2878,8,
Dmitri Sysuev,30,FK Ufa,RUS - Premier Liga,right,176,Russia,W,14,12,1,816,3,
Kehinde Fatai,28,FK Ufa,RUS - Premier Liga,right,185,Nigeria  Romania,CF,14,32,14,1833,5,
Vyacheslav Krotov,25,FK Ufa,RUS - Premier Liga,right,183,Russia,CF,14,10,3,610,0,
Yerkebulan Seydakhmet,18,FK Ufa,RUS - Premier Liga,right,178,Kazakhstan,CF,14,,,,,
Aleksandr Zuev,21,FK Rostov,RUS - Premier Liga,right,176,Russia  Kazakhstan,W,14,3,0,105,1,
Aleksey Ionov,29,FK Rostov,RUS - Premier Liga,right,177,Russia,W,14,44,13,2808,4,
Björn Sigurdarson,27,FK Rostov,RUS - Premier Liga,right,187,Iceland,CF,14,17,2,1180,1,
Eldor Shomurodov,22,FK Rostov,RUS - Premier Liga,right,185,Uzbekistan,CF,14,4,0,151,0,
Vladimir Dyadyun,29,FK Rostov,RUS - Premier Liga,right,183,Russia,CF,14,25,3,1461,1,
Nikolay Dimitrov,30,Ural Yekaterinburg,RUS - Premier Liga,left,175,Bulgaria,W,14,42,12,3178,6,
Dmytro Khomchenovsky,27,Ural Yekaterinburg,RUS - Premier Liga,both,182,Ukraine,W,14,32,4,2579,2,
Nikita Glushkov,23,Ural Yekaterinburg,RUS - Premier Liga,right,175,Russia,W,14,18,0,1549,0,
Giorgi Chanturia,24,Ural Yekaterinburg,RUS - Premier Liga,both,181,Georgia,W,14,26,6,1353,0,
Edgar Manucharyan,31,Ural Yekaterinburg,RUS - Premier Liga,left,177,Armenia,W,14,19,3,1386,3,
Vladimir Iljin,25,Ural Yekaterinburg,RUS - Premier Liga,right,187,Russia,CF,14,30,1,1154,0,
Igor Portnyagin,29,Ural Yekaterinburg,RUS - Premier Liga,right,191,Russia,CF,14,28,12,2171,3,
Aaron Olanare,23,Amkar Perm,RUS - Premier Liga,left,189,Nigeria,CF,14,18,7,1301,1,
Darko Bodul,29,Amkar Perm,RUS - Premier Liga,right,186,Austria  Croatia,CF,14,21,2,1140,0,
Aleksey Gasilin,22,Amkar Perm,RUS - Premier Liga,both,185,Russia,CF,14,7,0,585,2,
Pavel Yakovlev,26,Anzhi Makhachkala,RUS - Premier Liga,right,180,Russia,W,14,21,1,1299,2,
Ivan Markelov,29,Anzhi Makhachkala,RUS - Premier Liga,left,185,Russia,W,14,27,6,2183,4,
Arsen Khubulov,27,Anzhi Makhachkala,RUS - Premier Liga,right,181,Russia,W,14,17,0,544,1,
Pylyp Budkivsky,26,Anzhi Makhachkala,RUS - Premier Liga,right,196,Ukraine,CF,14,33,9,2730,0,
Juan Lescano,25,Anzhi Makhachkala,RUS - Premier Liga,right,188,Argentina,CF,14,24,4,1151,0,
Aleksandr Prudnikov,29,Anzhi Makhachkala,RUS - Premier Liga,both,185,Russia,CF,14,24,4,1282,1,
Amur Kalmykov,23,Anzhi Makhachkala,RUS - Premier Liga,right,194,Russia,CF,14,,,,,
Pavel Dolgov,21,Anzhi Makhachkala,RUS - Premier Liga,right,187,Russia,CF,14,7,2,441,0,
Ricardinho,28,FK Tosno,RUS - Premier Liga,both,178,Brazil,W,14,29,20,2017,2,
Nikola Trujic,25,FK Tosno,RUS - Premier Liga,right,182,Serbia,W,14,30,3,2616,1,
Reziuan Mirzov,24,FK Tosno,RUS - Premier Liga,right,180,Russia,W,14,27,1,1877,2,
Aleksandr Makarov,21,FK Tosno,RUS - Premier Liga,right,175,Russia,W,14,5,1,416,3,
Pavel Pogrebnyak,34,FK Tosno,RUS - Premier Liga,left,188,Russia,CF,14,33,7,2244,2,
Alejandro Barbaro,26,SKA Khabarovsk,RUS - Premier Liga,both,177,Argentina  Italy,W,14,2,0,90,0,
Konstantin Savichev,24,SKA Khabarovsk,RUS - Premier Liga,right,172,Russia,W,14,,,,,
Vladislav Nikiforov,28,SKA Khabarovsk,RUS - Premier Liga,right,166,Russia,W,14,28,0,2446,0,
Dmitri Kabutov,25,SKA Khabarovsk,RUS - Premier Liga,right,173,Russia,W,14,24,1,1244,2,
Maksim Kazankov,30,SKA Khabarovsk,RUS - Premier Liga,right,175,Russia  Turkmenistan,W,14,,,,,
Maksim Kanunnikov,26,SKA Khabarovsk,RUS - Premier Liga,right,184,Russia,CF,14,28,5,2224,7,
Miroslav Markovic,28,SKA Khabarovsk,RUS - Premier Liga,both,184,Serbia,CF,14,12,4,631,0,
Lukasz Sekulski,27,SKA Khabarovsk,RUS - Premier Liga,right,187,Poland,CF,14,36,31,3153,1,
Aleksandr Maksimenko,21,SKA Khabarovsk II,RUS - Premier Liga,right,169,Russia,CF,14,,,,,
Ousmane Dembélé,20,FC Barcelona,ESP - LaLiga,both,178,France  Mauritania,W,14,,,,,FC Barcelona
Lionel Messi,30,FC Barcelona,ESP - LaLiga,left,170,Argentina  Spain,W,14,57,58,5060,31,FC Barcelona
Aleix Vidal,28,FC Barcelona,ESP - LaLiga,right,177,Spain,W,14,47,6,3393,11,FC Barcelona
Luis Suárez,31,FC Barcelona,ESP - LaLiga,right,182,Uruguay  Italy,CF,14,43,25,3532,24,FC Barcelona
Paco Alcácer,24,FC Barcelona,ESP - LaLiga,right,175,Spain,CF,14,36,14,2402,6,FC Barcelona
Cristiano Ronaldo,33,Real Madrid,ESP - LaLiga,both,187,Portugal,W,14,54,61,4640,22,Real Madrid
Marco Asensio,22,Real Madrid,ESP - LaLiga,left,182,Spain  Netherlands,W,14,36,6,2915,8,Real Madrid
Gareth Bale,28,Real Madrid,ESP - LaLiga,left,185,Wales,W,14,48,17,4038,12,Real Madrid
Lucas Vázquez,26,Real Madrid,ESP - LaLiga,right,173,Spain,W,14,39,4,3189,7,Real Madrid
Karim Benzema,30,Real Madrid,ESP - LaLiga,both,185,France  Algeria,CF,14,46,22,3669,15,Real Madrid
Borja Mayoral,20,Real Madrid,ESP - LaLiga,right,182,Spain,CF,14,12,9,816,0,Real Madrid
Vitolo,28,Atlético Madrid,ESP - LaLiga,right,184,Spain,W,14,42,9,3131,12,
Ángel Correa,23,Atlético Madrid,ESP - LaLiga,right,172,Argentina  Spain,W,14,,,,,
Antoine Griezmann,26,Atlético Madrid,ESP - LaLiga,left,175,France,CF,14,53,25,3420,6,
Diego Costa,29,Atlético Madrid,ESP - LaLiga,right,186,Spain  Brazil,CF,14,37,20,2935,5,
Kévin Gameiro,30,Atlético Madrid,ESP - LaLiga,right,172,France,CF,14,44,17,1912,6,
Fernando Torres,33,Atlético Madrid,ESP - LaLiga,right,186,Spain,CF,14,36,7,1792,1,
Gonçalo Guedes,21,Valencia CF,ESP - LaLiga,right,179,Portugal,W,14,41,8,2908,15,
Andreas Pereira,22,Valencia CF,ESP - LaLiga,right,178,Brazil  Belgium,W,14,20,3,1626,4,
Ferrán Torres,18,Valencia CF,ESP - LaLiga,right,184,Spain,W,14,,,,,
Simone Zaza,26,Valencia CF,ESP - LaLiga,left,186,Italy,CF,14,34,12,2745,3,
Rodrigo,27,Valencia CF,ESP - LaLiga,left,182,Spain  Brazil,CF,14,32,4,2161,5,
Luciano Vietto,24,Valencia CF,ESP - LaLiga,right,173,Argentina  Italy,CF,14,48,20,2955,8,
Santi Mina,22,Valencia CF,ESP - LaLiga,right,181,Spain,CF,14,24,9,1445,4,
Joaquín Correa,23,Sevilla FC,ESP - LaLiga,right,188,Argentina  Italy,W,14,22,2,1269,4,
Nolito,31,Sevilla FC,ESP - LaLiga,right,175,Spain,W,14,37,13,3061,14,
Pablo Sarabia,25,Sevilla FC,ESP - LaLiga,left,178,Spain,W,14,41,4,2927,7,
Jesús Navas,32,Sevilla FC,ESP - LaLiga,right,170,Spain,W,14,47,1,3006,11,
Wissam Ben Yedder,27,Sevilla FC,ESP - LaLiga,right,170,France  Tunisia,CF,14,38,15,2988,5,
Luis Muriel,26,Sevilla FC,ESP - LaLiga,right,179,Colombia,CF,14,27,4,1379,5,
Sandro Ramírez,22,Sevilla FC,ESP - LaLiga,right,175,Spain,CF,14,42,12,2692,2,
Roberto Soriano,27,Villarreal CF,ESP - LaLiga,both,182,Italy  Germany,W,14,35,4,2665,5,
Denis Cheryshev,27,Villarreal CF,ESP - LaLiga,left,179,Russia  Spain,W,14,40,7,2554,10,
Samu Castillejo,23,Villarreal CF,ESP - LaLiga,left,182,Spain,W,14,39,1,2470,5,
Daniel Raba,22,Villarreal CF,ESP - LaLiga,left,184,Spain,W,14,,,,,
Salem Al-Dawsari,26,Villarreal CF,ESP - LaLiga,right,171,Saudi Arabia,W,14,29,4,2355,6,
Carlos Bacca,31,Villarreal CF,ESP - LaLiga,right,181,Colombia,CF,14,56,28,3574,10,
Nicola Sansone,26,Villarreal CF,ESP - LaLiga,right,173,Italy  Germany,CF,14,37,8,2689,5,
Enes Ünal,20,Villarreal CF,ESP - LaLiga,right,185,Turkey,CF,14,31,1,788,2,
Roger Martínez,23,Villarreal CF,ESP - LaLiga,right,180,Colombia,CF,14,26,6,1975,6,
Iker Muniain,25,Athletic Bilbao,ESP - LaLiga,right,169,Spain,W,14,41,2,3245,4,
Iñigo Córdoba,20,Athletic Bilbao,ESP - LaLiga,left,179,Spain,W,14,6,1,483,1,
Sabin Merino,26,Athletic Bilbao,ESP - LaLiga,right,187,Spain,W,14,42,18,3544,6,
Iñaki Williams,23,Athletic Bilbao,ESP - LaLiga,right,186,Spain,W,14,43,16,3293,4,
Markel Susaeta,30,Athletic Bilbao,ESP - LaLiga,right,179,Spain,W,14,48,3,2840,9,
Aritz Aduriz,37,Athletic Bilbao,ESP - LaLiga,right,182,Spain,CF,14,48,26,3611,5,
Kike Sola,32,Athletic Bilbao,ESP - LaLiga,right,184,Spain,CF,14,6,0,129,0,
Mikel Oyarzabal,20,Real Sociedad,ESP - LaLiga,left,181,Spain,W,14,5,0,210,0,
Adnan Januzaj,23,Real Sociedad,ESP - LaLiga,left,186,Belgium  Kosovo,W,14,29,5,1685,4,
Juanmi,24,Real Sociedad,ESP - LaLiga,right,172,Spain,W,14,38,8,2554,2,
David Concha,21,Real Sociedad,ESP - LaLiga,right,179,Spain,W,14,35,5,2929,4,
Willian José,26,Real Sociedad,ESP - LaLiga,right,189,Brazil,CF,14,38,10,2219,5,
Jon Bautista,22,Real Sociedad,ESP - LaLiga,right,180,Spain,CF,14,25,2,1315,4,
Imanol Agirretxe,31,Real Sociedad,ESP - LaLiga,right,187,Spain,CF,14,36,7,2262,1,
Pione Sisto,23,Celta de Vigo,ESP - LaLiga,right,171,Denmark  Uganda,W,14,24,8,1705,4,
Emre Mor,20,Celta de Vigo,ESP - LaLiga,left,169,Turkey  Denmark,W,14,0,0,0,0,
Iago Aspas,30,Celta de Vigo,ESP - LaLiga,left,176,Spain,W,14,25,10,940,2,
Maximiliano Gómez,21,Celta de Vigo,ESP - LaLiga,right,186,Uruguay,CF,14,4,0,183,0,
Lucas Boyé,22,Celta de Vigo,ESP - LaLiga,right,183,Argentina  Italy,CF,14,33,3,1542,1,
Cristian Tello,26,Real Betis Balompié,ESP - LaLiga,both,178,Spain,W,14,37,8,2119,11,
Joel Campbell,25,Real Betis Balompié,ESP - LaLiga,left,178,Costa Rica,W,14,33,1,1832,1,
Joaquín,36,Real Betis Balompié,ESP - LaLiga,right,181,Spain,W,14,34,2,2356,6,
Francis Guerrero,22,Real Betis Balompié,ESP - LaLiga,right,175,Spain,W,14,5,0,275,0,
Antonio Sanabria,22,Real Betis Balompié,ESP - LaLiga,right,181,Paraguay,CF,14,15,7,1095,0,
Sergio León,29,Real Betis Balompié,ESP - LaLiga,right,176,Spain,CF,14,35,9,2355,2,
Rubén Castro,36,Real Betis Balompié,ESP - LaLiga,right,168,Spain,CF,14,46,33,3975,13,
Loren Morón,24,Real Betis Balompié,ESP - LaLiga,,185,Spain,CF,14,11,0,334,0,
Pablo Piatti,28,RCD Espanyol Barcelona,ESP - LaLiga,both,163,Argentina  Italy,W,14,30,7,2044,8,
Gerard Moreno,25,RCD Espanyol Barcelona,ESP - LaLiga,left,180,Spain,CF,14,39,16,2629,5,
Leo Baptistão,25,RCD Espanyol Barcelona,ESP - LaLiga,right,181,Brazil  Spain,CF,14,26,7,1806,1,
Sergio García,34,RCD Espanyol Barcelona,ESP - LaLiga,right,174,Spain,CF,14,41,15,3567,11,
Jairo Morillas,24,RCD Espanyol Barcelona,ESP - LaLiga,right,187,Spain,CF,14,39,18,2757,0,
Zakaria Bakkali,22,Deportivo de La Coruña,ESP - LaLiga,right,168,Belgium  Morocco,W,14,5,1,352,1,
Borja Valle,25,Deportivo de La Coruña,ESP - LaLiga,right,177,Spain,W,14,26,9,1936,0,
Federico Cartabia,25,Deportivo de La Coruña,ESP - LaLiga,left,170,Argentina  Spain,W,14,30,4,2163,5,
Carles Gil,25,Deportivo de La Coruña,ESP - LaLiga,left,171,Spain,W,14,20,2,1000,3,
Lucas Pérez,29,Deportivo de La Coruña,ESP - LaLiga,left,180,Spain,CF,14,21,6,1554,3,
Florin Andone,24,Deportivo de La Coruña,ESP - LaLiga,right,180,Romania  Spain,CF,14,30,8,2297,1,
Adrián López,30,Deportivo de La Coruña,ESP - LaLiga,right,183,Spain,CF,14,18,1,723,4,
Isaac Success,22,Málaga CF,ESP - LaLiga,right,182,Nigeria,W,14,38,7,2273,4,
Maxime Lestienne,25,Málaga CF,ESP - LaLiga,left,176,Belgium,W,14,31,1,1378,4,
Chory Castro,33,Málaga CF,ESP - LaLiga,left,178,Uruguay  Spain,W,14,37,4,2171,4,
Keko,26,Málaga CF,ESP - LaLiga,right,172,Spain,W,14,36,6,2644,6,
Samu García,27,Málaga CF,ESP - LaLiga,right,177,Spain,W,14,38,5,2635,3,
Diego Rolán,24,Málaga CF,ESP - LaLiga,right,177,Uruguay,CF,14,38,16,2659,4,
Borja Bastón,25,Málaga CF,ESP - LaLiga,right,186,Spain,CF,14,40,22,3400,5,
Brown Ideye,29,MAAlaga CF,ESP - LaLiga,right,181,Nigeria,CF,14,31,7,1766,2,
Adalberto Peñaranda,20,Málaga CF,ESP - LaLiga,right,185,Venezuela,CF,14,,,,,
Youssef En-Nesyri,20,Málaga CF,ESP - LaLiga,both,189,Morocco,CF,14,,,,,
Cristhian Stuani,31,Girona FC,ESP - LaLiga,right,184,Uruguay  Italy,CF,14,45,15,2322,0,
Anthony Lozano,24,Girona FC,ESP - LaLiga,right,183,Honduras,CF,14,6,4,368,1,
Michael Olunga,23,Girona FC,ESP - LaLiga,,190,Kenya,CF,14,2,0,180,0,
Takashi Inui,29,SD Eibar,ESP - LaLiga,right,170,Japan,W,14,29,1,1932,9,
Pedro León,31,SD Eibar,ESP - LaLiga,right,183,Spain,W,14,29,2,1756,8,
Fabián Orellana,32,SD Eibar,ESP - LaLiga,right,171,Chile,W,14,39,7,3149,7,
Iván Alejo,23,SD Eibar,ESP - LaLiga,right,186,Spain,W,14,21,1,1148,1,
Rubén Peña,26,SD Eibar,ESP - LaLiga,right,170,Spain,W,14,31,1,2138,4,
Sergi Enrich,28,SD Eibar,ESP - LaLiga,right,181,Spain,CF,14,40,16,3228,5,
Kike,28,SD Eibar,ESP - LaLiga,right,186,Spain,CF,14,51,12,2828,4,
Charles,33,SD Eibar,ESP - LaLiga,right,179,Brazil  Portugal,CF,14,31,4,1367,4,
Alfonso Pedraza,21,Deportivo Alavés,ESP - LaLiga,left,184,Spain,W,14,15,1,598,0,
Burgui,24,Deportivo Alavés,ESP - LaLiga,right,184,Spain,W,14,37,7,2802,15,
Ibai Gómez,28,Deportivo Alavés,ESP - LaLiga,right,178,Spain,W,14,34,2,1674,4,
Hernán Pérez,29,Deportivo Alavés,ESP - LaLiga,right,180,Paraguay  Spain,W,14,16,4,1250,4,
Munir El Haddadi,22,Deportivo Alavés,ESP - LaLiga,left,175,Spain  Morocco,CF,14,33,5,2169,5,
John Guidetti,25,Deportivo Alavés,ESP - LaLiga,right,185,Sweden,CF,14,35,15,1985,10,
Christian Santos,29,Deportivo Alavés,ESP - LaLiga,left,184,Venezuela  Germany,CF,14,38,23,2843,10,
Rubén Sobrino,25,Deportivo Alavés,ESP - LaLiga,right,185,Spain,CF,14,42,6,2388,6,
Ermedin Demirovic,19,Deportivo Alavés,ESP - LaLiga,right,184,Bosnia-Herzegovina  Germany,CF,14,33,18,1981,1,
Alexander Szymanowski,29,CD Leganés,ESP - LaLiga,left,174,Argentina  Poland,W,14,26,1,1572,7,
José Naranjo,23,CD Leganés,ESP - LaLiga,right,182,Spain,W,14,27,4,1613,1,
Nordin Amrabat,30,CD Leganés,ESP - LaLiga,right,179,Morocco  Netherlands,W,14,35,6,2275,7,
Nabil El Zhar,31,CD Leganés,ESP - LaLiga,both,170,Morocco  France,W,14,21,1,921,2,
Omar,30,CD Leganés,ESP - LaLiga,left,176,Spain,W,14,38,0,1602,6,
Claudio Beauvue,29,CD Leganés,ESP - LaLiga,right,174,Guadeloupe  France,CF,14,52,27,4308,7,
Miguel Ángel Guerrero,27,CD Leganés,ESP - LaLiga,right,180,Spain,CF,14,37,11,2738,1,
Amath Ndiaye,21,Getafe CF,ESP - LaLiga,right,173,Senegal,W,14,8,3,561,2,
Dani Pacheco,27,Getafe CF,ESP - LaLiga,both,168,Spain  Brazil,W,14,25,0,1031,1,
Álvaro Jiménez,22,Getafe CF,ESP - LaLiga,right,176,Spain,W,14,28,8,2091,4,
Loïc Rémy,31,Getafe CF,ESP - LaLiga,right,185,France  Martinique,CF,14,29,9,1228,2,
Ángel Rodríguez,30,Getafe CF,ESP - LaLiga,right,171,Spain,CF,14,16,0,536,1,
Jorge Molina,35,Getafe CF,ESP - LaLiga,right,188,Spain,CF,14,36,20,2310,8,
José Luis Morales,30,Levante UD,ESP - LaLiga,right,180,Spain,W,14,36,3,2793,1,
Fahad Al-Muwallad,23,Levante UD,ESP - LaLiga,right,167,Saudi Arabia,W,14,23,8,1841,1,
Ivi,23,Levante UD,ESP - LaLiga,right,174,Spain,W,14,36,3,2318,1,
Jason,23,Levante UD,ESP - LaLiga,right,178,Spain,W,14,24,5,1548,0,
Roger Martí,27,Levante UD,ESP - LaLiga,right,179,Spain,CF,14,19,6,1356,3,
Emmanuel Boateng,21,Levante UD,ESP - LaLiga,right,175,Ghana,CF,14,27,2,1447,2,
Alex Alegría,25,Levante UD,ESP - LaLiga,right,190,Spain,CF,14,36,14,2949,0,
Giampaolo Pazzini,33,Levante UD,ESP - LaLiga,right,180,Italy,CF,14,28,5,989,0,
Armando Sadiku,26,Levante UD,ESP - LaLiga,right,182,Albania  Bulgaria,CF,14,16,6,488,1,
Jairo Samperio,24,UD Las Palmas,ESP - LaLiga,right,173,Spain,W,14,22,2,1103,5,
Hernán Toledo,22,UD Las Palmas,ESP - LaLiga,right,180,Argentina,W,14,6,0,408,0,
Nacho Gil,22,UD Las Palmas,ESP - LaLiga,right,170,Spain,W,14,32,5,2052,0,
Momo,35,UD Las Palmas,ESP - LaLiga,left,179,Spain,W,14,31,7,1568,7,
Jonathan Calleri,24,UD Las Palmas,ESP - LaLiga,right,181,Argentina  Italy,CF,14,45,19,3097,10,
Emmanuel Emenike,30,UD Las Palmas,ESP - LaLiga,right,182,Nigeria,CF,14,35,5,2311,8,
Imoh Ezekiel,24,UD Las Palmas,ESP - LaLiga,right,178,Nigeria,CF,14,29,12,2282,3,
Justin Kluivert,18,Ajax Amsterdam,NLD - Eredivisie,both,171,Netherlands  Suriname,W,14,1,0,90,0,
Amin Younes,24,Ajax Amsterdam,NLD - Eredivisie,both,168,Germany  Lebanon,W,14,18,2,871,2,
Dennis Johnsen,20,Ajax Amsterdam,NLD - Eredivisie,right,185,Norway,W,14,,,,,
David Neres,21,Ajax Amsterdam,NLD - Eredivisie,left,175,Brazil,W,14,,,,,
Vaclav Cerny,20,Ajax Amsterdam,NLD - Eredivisie,left,179,Czech Republic,W,14,34,14,2542,4,
Kasper Dolberg,20,Ajax Amsterdam,NLD - Eredivisie,right,187,Denmark,CF,14,3,0,72,0,
Mateo Cassierra,20,Ajax Amsterdam,NLD - Eredivisie,right,184,Colombia,CF,14,19,7,1233,2,
Klaas-Jan Huntelaar,34,Ajax Amsterdam,NLD - Eredivisie,right,186,Netherlands,CF,14,37,14,3190,4,
Hirving Lozano,22,PSV Eindhoven,NLD - Eredivisie,right,175,Mexico,W,14,40,9,3217,7,
Steven Bergwijn,20,PSV Eindhoven,NLD - Eredivisie,right,178,Netherlands  Suriname,W,14,18,4,1228,4,
Gastón Pereiro,22,PSV Eindhoven,NLD - Eredivisie,left,188,Uruguay,W,14,25,7,1782,4,
Albert Gudmundsson,20,PSV Eindhoven,NLD - Eredivisie,right,177,Iceland,W,14,24,3,1697,2,
Maximiliano Romero,19,PSV Eindhoven,NLD - Eredivisie,right,179,Argentina,CF,14,0,0,0,0,
Luuk de Jong,27,PSV Eindhoven,NLD - Eredivisie,right,188,Netherlands,CF,14,45,26,3930,14,
Sam Lammers,20,PSV Eindhoven,NLD - Eredivisie,both,189,Netherlands,CF,14,19,7,1645,7,
Donyell Malen,19,PSV Eindhoven U21,NLD - Eredivisie,right,0,Netherlands,CF,14,1,0,90,0,
Sam Larsson,24,Feyenoord Rotterdam,NLD - Eredivisie,right,180,Sweden,W,14,31,8,2667,6,
Jean-Paul Boëtius,23,Feyenoord Rotterdam,NLD - Eredivisie,right,178,Netherlands  Suriname,W,14,44,5,2556,4,
Cheick Toure,17,Feyenoord Rotterdam,NLD - Eredivisie,,167,Netherlands  Guinea,W,14,,,,,
Steven Berghuis,26,Feyenoord Rotterdam,NLD - Eredivisie,left,182,Netherlands,W,14,25,11,1892,6,
Bilal Basacikoglu,22,Feyenoord Rotterdam,NLD - Eredivisie,right,173,Turkey  Netherlands,W,14,29,3,1526,5,
Nicolai Jörgensen,27,Feyenoord Rotterdam,NLD - Eredivisie,right,190,Denmark,CF,14,37,12,2756,2,
Robin van Persie,34,Feyenoord Rotterdam,NLD - Eredivisie,left,183,Netherlands,CF,14,31,12,2346,3,
Dylan Vente,18,Feyenoord Rotterdam,NLD - Eredivisie,right,184,Netherlands,CF,14,,,,,
Oussama Idrissi,22,AZ Alkmaar,NLD - Eredivisie,right,183,Netherlands  Morocco,W,14,29,4,2017,1,
Alireza Jahanbakhsh,24,AZ Alkmaar,NLD - Eredivisie,both,180,Iran,W,14,31,13,2644,18,
Calvin Stengs,19,AZ Alkmaar,NLD - Eredivisie,left,182,Netherlands  Suriname,W,14,,,,,
Wout Weghorst,25,AZ Alkmaar,NLD - Eredivisie,right,197,Netherlands,CF,14,40,10,3008,9,
Ondrej Mihálik,20,AZ Alkmaar,NLD - Eredivisie,right,188,Czech Republic,CF,14,3,0,24,0,
Myron Boadu,17,AZ Alkmaar,NLD - Eredivisie,both,180,Netherlands  Ghana,CF,14,,,,,
Ferdy Druijf,20,AZ Alkmaar,NLD - Eredivisie,right,190,Netherlands,CF,14,5,2,145,0,
Patrick Joosten,21,FC Utrecht,NLD - Eredivisie,right,185,Netherlands,W,14,19,0,1142,0,
Gyrano Kerk,22,FC Utrecht,NLD - Eredivisie,right,175,Netherlands  Suriname,W,14,24,10,1800,4,
Bilal Ould-Chikh,20,FC Utrecht,NLD - Eredivisie,left,170,Morocco  Netherlands,W,14,29,1,1432,4,
Jean-Christophe Bahebeck,24,FC Utrecht,NLD - Eredivisie,right,182,France  Cameroon,CF,14,24,3,868,5,
Cyriel Dessers,23,FC Utrecht,NLD - Eredivisie,both,185,Belgium  Nigeria,CF,14,29,7,975,1,
Simon Makienok,27,FC Utrecht,NLD - Eredivisie,right,201,Denmark,CF,14,11,3,661,0,
Lukas Görtler,23,FC Utrecht,NLD - Eredivisie,right,183,Germany,CF,14,28,11,2163,6,
